127.0.0.1 - - [06/Jan/2025:18:11:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:11:15 +0530] "GET /E_Commerce/login.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:11:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:17 +0530] "POST /E_Commerce/Login HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:25 +0530] "POST /E_Commerce/Login HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "POST /E_Commerce/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/Product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/home.jsp HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/casualShoe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/styles/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/EthnicWear.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/printed-formal-shirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Sports%20Shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/leatherwallet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Mobile%20Phones.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Sunglasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/digitalwatch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Laptops.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Headphones.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Smartwatches.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Kitchen%20Appliances.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Non-Fiction%20Books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Furniture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Toys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Stationery.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Fitness%20Equipment.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Action%20Cameras.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:12:45 +0530] "GET /E_Commerce/product_images/Gaming%20Consoles.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:10 +0530] "GET /E_Commerce/login.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:13 +0530] "GET /E_Commerce/register.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:27 +0530] "GET /E_Commerce/ProductItemsServlet?productId=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:27 +0530] "GET /E_Commerce/productItems.jsp HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:27 +0530] "GET /E_Commerce/styles/productItems.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:36 +0530] "GET /E_Commerce/ProductItemsServlet?productId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:18:13:36 +0530] "GET /E_Commerce/productItems.jsp HTTP/1.1" 200 5082
